,sair_adi,baslik,siir_link,siir
204,Orhan Gencebay,Ya Rabb'im,https://www.antoloji.com/ya-rabb-im-siiri/,Ya Rabb'im sen büyüksün Ya Rabb'im sen gönülsün Durdur geçen zamanı Kulların gülsünBütün saatler dursun Dert rüzgarları sussun Aşk güneşi bahtıma Gülerek doğsunŞimdi aşk zamanıdır Aşk ömrün baharıdır Bırak sarhoş olalım Meyler aşk şarabıdır İçtiğim aşk şarabıdırMevsim bahar olunca Aşk gönüle dolunca Sevenler kavuşunca Yaşamak ne güzelSenden uzak yaşamak İnan yaşamak değil Aşkı anlatan hiçbir Söz tamam değilBazı duygular var ki Kelimelere sığmaz sevenler anlar ancak Sevmeyen değilŞimdi aşk zamanıdır Aşk ömrün baharıdır Bırak sarhoş olalım İçtiğim aşk şarabıdır   Orhan GencebayKayıt Tarihi : 27.8.2001 23:24:00
205,Celalettin Kurt,Aşk Kesik Bir Hançer Ucudur,https://www.antoloji.com/ask-kesik-bir-hancer-ucudur-siiri/,"Aşk bir kesik hançer ucudur Her nereye batsa Hüzünleri sıralar Parçalar pâre pâre yürekleri Sînelere çentik atar Sevenleri bir değil  Yüz bin yerden yaralarGülşeninde bırakır bazen Gün olur bulaştırır belâsına  Ne bugünün olur Ne de yarının Aşk mı!  Tuzaklar koyar karşına Ulaştırmaz bir gün  Yârin görklü kalasına Ama bilinir ki dünyada Verse de çoğu zaman hüzün Toprak kadar gerçek  Su kadar azizdir aşk Yaşamasın, ölmesin bilene Ana sütünce leziz Kar suyunca temizdir aşkAşk bir bıçak sırtıdır Ve şeffaf ve kaygan Bir namlu ucudur aşk Yüreklerde atılgan Aşk çoğu zaman nazlıdır Çocuk kadar kırılgan Aşk..Aşk..Aşk Aşk ki iki yüreğin Gül göçüdür uzaklara   Celalettin KurtKayıt Tarihi : 4.7.2008 16:44:00"
206,Ahmet Zühtü Çelenk,Aşk  böyledir,https://www.antoloji.com/ask-boyledir-6-siiri/,"AŞK BÖYLEDİR aşk onsuz yaşanmaz değil mi?  aşk dokunmak değil mi?  aşk iki yürek bir bedende, olmak değil mi?  aşk sen ben değil, aşk demek,biz değil mi?  aşk kurumuş bir yaprak değil, aşk yeni yeni filizlenen bir tohum, bir gonca değil mi?  aşk birlikte yaşamak, aşk birlikte yaşlanmak, aşk birlikte ölmek değil mi?   Ahmet Zühtü ÇelenkKayıt Tarihi : 11.12.2014 12:44:00"
207,Fatma Saylak,Aşk,https://www.antoloji.com/ask-919-siiri/,"Aşk ne yalan ne gerçek.Aşk duygu yoğunluğunun en uç noktası.İnsanların başına gelen en güzel duygulardan bir tanesi.Aşk sonsuza kadar kapanmayan bir yaranın kanayıp acı vermesi gibi bir şey.Unuttuğunu sandığın an bir anda karşına çıkmasıdır aşk.Kırmızı bir gülün sadakatinin tek parçasıdır.Eski bir fotoğrafta canlanan yaşanmış bir filmin yeniden hatırlanmasıdır aşk.Gözlerin konuştuğu,kalplerin çarptığı,beynin tek kişiye odaklanmasıdır aşk.Yenilen ve yenen olmayan zaferin ruhlarda sevgi olarak büyümesidir aşk.Onu ebediyete kadar unutamadığındır aşk.Ona ait duygularının hiçbir zaman değişmemesidir aşk.Pencereni açtığında ilk baktığın yerde onu görebilmendir aşk.Gökyüzüne baktığında onun yıldızını da görebilmendir aşk.Beklenen yolcuyu,gelmeyecek bile olsa yüreğinde sosuza kadar beklemendir aşk.Aslında aşk tarifi bile mümkün olmayan kişiden kişiye değişen, acı ve sevinç karışık darmatik bir sahnedir.Ne olursa olsun aşk sonuna kadar sevebilme cesaretini göstermektir.Kalbin tek bir kişi için çarpmasıdır.Onu baktığın her yerde görebilmendir aşk.Aşkı aşkla unutamazsın.Aşk derin bir yaradır.Hayatında ilk aşık olduğun kim ise asla onu untamazsın.Düşünmezsin ama eski bir fotğrafta canlanan eski günlerin aklına geldikçe onunla birlikte yaşanan aşka belkide üzülür,belkide sevinirsin.Onu unutamadığın gibi bir başkasıyla birlikte olsan bile,kalbinin tek sahibini yerinden çıkaramazsın.Her telefon çalışında,onun aramasını beklersin.Maziye diri olarak gömülen aşkının bedbahtlığını ölünceye dek çekersin.Yaşamın sonsuza kadar onu düşünmeklede geçse buna hiç pişman olmazsın.Aşk hayatın bir parçasıdır.Onu düşünmekle hayatını geçireceksen şimdiden birm şeyi bilmen gerekir:Acılara şimdiden alışmalısın!   Fatma SaylakKayıt Tarihi : 3.3.2007 11:02:00"
208,Yakup Onat,Aşk,https://www.antoloji.com/ask-1570-siiri/,"Aşk, zamanın akıp gitmesidir. Aşk, yalancıktan aşkım demek  değil. Aşk kötü günde kahretmemektir. Aşk  ellerin birleşmesi. Aşk,ışığı görebilmektir. Aşk,çileyle yoğrulmaktır. Aşk,bir bakış ve bir gülüşle yetinebilmek. Aşk,onun kokunu özlemekten haz duymaktır. Aşk hak bellediğin yolda yalnız kalmaktır. Aşk,yolda kalakalmaktır. Aşk,sevilmediğini bilerek beklemekmiş.. Aşk,en güzel bir delilik. Aşk,ihtiyarlıkta kıymet bilmektir. Aşk,başın dönmesidir sevdadan. Aşk,sözsüz iletişimdir. Aşk,sevilmediğini bile bile yanmaktır. Aşk,yangının küllerini saçmamak oraya buraya. Aşk,yüreğin kor yangınlarını içine atabilmek. Aşk,şairce haykırmaktır. Aşk,göz görmeden de hayran olmak. Aşk,kırıldığında gönül almaktır. Aşk,dolaplar çevirmek değildir. Aşk,yollarına inciler güller dökmektir. Aşk,yağmurda sırılsıklam ıslanmaktır. Aşk,sigaraya başlamaktır. Aşk,darda kalana tuzak kurmak değildir. Aşk,geceleri onu uzun uzun düşünmek ve düşlemektir. Aşk,ihaneti belli etmemektir.Aşk,sevildiğini bilmektir. Aşk,vuslata erememektir. Aşk,ince hastalığa tutulmaktır. Aşk,sevdiğini şüpheler içinde kıvrandırmaktır. Aşk,ezelden ebede ihtiras ve emellerde boğulmaktır. Aşk,her şeyin bittiği yerde delikanlıca aradan çekilmektir. Aşk,ümitlerin tükendiği yerde kafaya sıkmamaktır. Aşk,onun için,onun hatrına yaşamaktır. Aşk,feylesofça düşünmeyi düşünmektir. Aşk,mana denizine yol almaktır. Aşk,O’nu bulmak ve kendine gelmektir. Aşk,günaha girecekken “imtihan sırrını”hatırlamaktır. Aşk,çıkarcılık hiç olamaz. Aşk,bir köşede unutulup kalmaktır. Aşk,şu sanal dünyada oyuncak olmaktır.   Yakup OnatKayıt Tarihi : 23.5.2009 12:01:00"
209,Neşe Fidan,Aşkı Ararsan,https://www.antoloji.com/aski-ararsan-siiri/,"Aşk bir güneş gibidir, doğar kalp ülkesine, Aşk bir kaptan gibidir,  biner sessiz gemisine, Aşk bir kuş gibidir, uçar gökyüzüne, Aşk bir su gibidir dalarsın denizine, Aşkı ararsan bak insanların sevgisine,Aşk bir fidan gibidir, yeşerir kalbinde, Aşk bir bebek gibidir, büyür ellerinde, Aşk bir yaş gibidir, süzülür gözlerinde, Aşk bir şair gibidir, şiir dizelerinde, Aşkı ararsan bak insanların sevgisine,Aşk bir duygu ise saplanır yüreğine, Aşk bir mutluluk ise yakala sende elinle, Aşk bir şarkı ise dolanır diline, Aşk bir gölge ise yürür hep seninle, Aşkı ararsan bak insanların sevgisine,   Neşe FidanKayıt Tarihi : 2.11.2008 10:00:00"
210,Fuat Polat,Gel Gör Beni Aşk Nerede,https://www.antoloji.com/gel-gor-beni-ask-nerede-siiri/,"gel gör beni Aşk nerede ne sende ne bende  ne de düşlerinde Aşk yaşanılan güzelliklerdegel gör beni Aşk nerede çık karşıma burdayım de de ki geldim ekmeğini bölüp yemeğe Aşk ne geçmişte ne gelecektegel gör beni Aşk nerede yüreğinin atışında yaşa bil ki beyaz atlı prensindemi gördüğün rüyalardamı Aşk ne uzakta ne yakındagel gör beni yüreğin nerede mimiklerindemi,hayellerindemi gör ki Aşk kalp atışında zaman aldığın nefestegel gör beni aşk nerede sanma ki şu karatoprakta aşk sensiz doğan güneşte bir an bakmadığın gözlerimde aşk ne sensiz ayrılışta ne senden önce terk edişteAşk gözlerinde Aşk dudaklarında Aşk alnında Aşk burdayım deyişinde.   Fuat PolatKayıt Tarihi : 8.6.2008 17:24:00"
211,Mustafa Erol,Aşk Hayattır,https://www.antoloji.com/ask-hayattir-2-siiri/,"Aşk HayattırNe aklıyla hareket eden âşık, Ne de âşık, illâ akılsız olur. Aklını, kalbe teslim eder âşık, Çünkü o,yalnız aşkta hayat bulur.Aşk olsaydı atılmazdı O kuyuya. Yusuf aşkla meydan okudu suya. Kardeşleri düşürmüştü pusuya. Yakup’ta bitmez, velev kanatsa aşk.Balık, aşk ile taşıdı Yunus’u. Yoktu zira, Yunus’ta aşk kaygısı. Aşktı, Yunus’un Taptuk’a saygısı. Aşk diye inledi, velev yutsa aşk.Aşkla delmedi mi, dağları âşık. Aşkla aşmadı mı çağları âşık. Gülle donattı hep, bağları âşık. Aşk ölmez, velev bir pula satsa aşk.Aşk hayattır diyorum, hayatsa aşk. Derde dermandır, ateşe atsa aşk. Hatta Mecnun kervanına katsa aşk, Aşk yinede hayattır, hayatsa aşk.Mustafa EROL 28.Haziran.2010 Antalya/Manavgat   Mustafa ErolKayıt Tarihi : 28.6.2010 23:41:00"
212,Fethi Sahin,Aşk nedir,https://www.antoloji.com/ask-nedir-100-siiri/,Aşk ateşdir aşk sevgidir Aşk muhabbettir aşk rahmettir Aşk imandır Aşk berekettir Aşk sevgiliye özlem ve hasrettir.Aşk mecnunu çöllerde gezdiren Aşk ferhada dağları deldiren. Aşk keremi yakıp tutuşturan. Aşk turda musayı buluşturan.Aşk yunusları bildiren. Aşk mevlanayı döndüren. Aşk Muhammedi sevdiren. Aşk ebu bekri  tüttüren.Aşk eyübü yar eyleyen. Aşk yakubu kör eyleyen. Aşk ibrahimi zar eyleyen. Aşk kainati var eyleyen.Aşk yahyayı ismaili  kesdiren. Aşk isayı arabiyi astıran. Aşk nesiminin derisini yüzdüren. Aşk mecidi halden hale estiren.25.09.2008   Fethi SahinKayıt Tarihi : 3.10.2008 22:06:00
213,Hamdi Oruç,Allah aşkı,https://www.antoloji.com/allah-aski-23-siiri/,Allah aşkıGönlümde ibrahim olamamanın gerilimi Yanlış adreslere koşan rüzğarın deliliği Kadın aşkı aşk değil üç harfli dar ağacı İbrahim olanı ateş yakmaz bir ibrahim de ben olayımAllaha aşık oldum Gönlüm keşfetti dezindeki derinliği Güneş gibiyim kendimeYunus Allaha aşık dediler bir yunus da ben olayım Allah aşkıymış gönle anne sütü Allah aşkı olmasa çekilmez hayatın yükü...Allah aşkıymış gönle anne sütü Aşk demem kadın aşkına O dar ağacı üç harfli Dar ağacım oldu Kadına aşk İbrahim olmalıydı gönlüm yıldızdan güneşten geçmeliydi Allah aşkı için var olmuşuzBülbül olmuşuz sana ey gül aşk Ey Allaha aşk İbrahim gönül gönlüm Ey yar  aşk  Geliyor ibrahim gönül  Yıldızları güneşleri geçerek Ey gül aşk  Geliyorum  ey gül aşk Gül aşk Öldür toprağımı Kirimi Zehirli fikrimi Güldür toprağımı Gülle Sen yarsın Kim demiş narsın İbrahim olanı ateş yakmaz bir ibrahim de ben olayımİbrahimdir gönlümüz yetinmez güneş ile Bülbül olmuşuz sana ey gül aşk Ey Aşk Gül Gönlüme O İbrahime Toprağımı kül et Toprağımı gül et Baharsın sen ey gül aşk Nursun sen ey aşk Allaha aşkBülbül olmuşuz sana ey gül aşk Ey Aşk Gül Gönlüme Güneş gibi  Toprağımı besle Ve seslendirBülbül olmuşuz sana ey gül aşk Ey Aşk ey ateş...yak Dillensin Gönlüm Ey aşk yok et beni... Sen yok et Öksüz gönlümü büyüt aşk Gül aşk Yunus Allaha aşık dediler bir yunus da ben olayımBülbül olmuşuz sana ey gül aşk Senin için dağı deldim Koştum denize geldim Hal ettim gönlüm ile Diyar diyar gezmeyi  Yar bağında Üzüm ezmeyi  Bal süzmeyi Ey aşk yok et beni... İmar et cömertliğimi Yunus Allaha aşık dediler bir yunus da ben olayımAllah aşkı için var olmuşuz Ateş değil gül yaktı beni Gül etti nefsim ile savaşı Bildim okumayı yazmayı Dilim oldu bülbül Aşk gönlü şad edensin Ey aşk yok et beni... İmar et mertliğimiBülbül olmuşuz sana ey gül aşk Aşk korkusun Aşk dağ çiçeğimsin Aşk Mavisin Aşk yeşilsin... Aşk derindesin... Ey aşk yok et beni... Önce bir kadında Üzüm tadında Var olanda yok et beni İmar et kulluğumuİbrahimdir gönlümüz yetinmez güneş ile Bülbül olmuşuz sana ey gül aşk Düşmüşüz sana aşk Göl gibisin dirilten Gül gibisin yakamızdasın Dilimizde dil Elimizde el Lal gibiyiz sensiz Ey hürmetli nesne Allaha aşk Ey aşk yok et beni... Ey öksüz gönlümü büyüten  İbrahim Allaha aşık dediler bir ibrahim de ben olayımEy aşk gönle anne sütüsün Gönlüm büyüsün Aşk  çekilmez hayatın yükü... Ey en lezzetli nesne Ey aşk yok et beni... Sen yok et Öksüz gönlümü büyütensin aşkAşksın güneşsin sen hep vardın Hiç yok olmadın Savaşırken insan oğlu Gök yere aşıktı Dal kuşa Sen yok olur musun  Haşa Ey aşk yok et beni... Sende yok olayım Çiçek olayım yok et beni Eyüp hastalığına sabretti dediler Eyüp Allaha aşık dediler bir eyüp de ben olayımBülbül olmuşuz sana ey gül aşk Ey aşk  Ey gül Bir heceli şeysin güneşsin Bir tanemsin Yok olur musun aşk Ey kuvvetli nesne Ey aşk yok et beni... Çiçek olayım ben deAllah aşkı için var olmuşuz Gül aşkı seçtim gül oldum Gülde aşk var Bülbülde aşk Aşk hep vardın  Biz yokken bile  Hep var olacaksın Biz yokken bile Ey en hikmetli nesne Ey aşk yok et beni... Yani çiçek olsun gönlüm Öksüz gönlümü büyütensin aşk Allaha aşkBülbül olmuşuz sana ey gül aşk Teslim oldum sana  Silahsız askerim Ne güzel camiler Minareler Kanı bayrak eden Gel deyince gelmeyen Git diyince giden Ey en izzetli nesne Ey aşk yok et beni... Çiçeklensin toprağım yak toprağımı Yunus Allaha aşık dediler bir yunus da ben olayımBülbül olmuşuz sana ey gül aşk Tuzaklarda okun Boğazındasın yokun Uzakları yakın edensin Ey korkunun zirvesi Ey aşk yok et beni... Toprağımı yak aşk Zeliha varsın aşık olsun Yusuf Allaha aşık dediler bir yusuf da ben olayımİbrahimdir gönlümüz yetinmez güneş ile Bülbül olmuşuz sana ey gül aşk Kendini aldatsın serap Berrak en berrak sarap Utandı çöl Beyazladı Arap Seninle terbiye etti bu gönlü Rab Şefkatinden... Ey aşk yok et beni... Çiçeklensin elim dilimİbrahimdir gönlümüz yetinmez güneş ile Bülbül olmuşuz sana ey gül aşk Adında tat Tatlı eden hayatı  Tatlı eden ölümü Gül kokansın aşk İbrahimi bile yakansın  Ademden günümüze akansın nur gibi Nursun aşk Musaya hızırsın aşk Bir dağdasın Bir denizde Yeşildesin Mavidesin Ey aşk yok et beni... İmar et çiçekliğimi Allaha aşk Yunus Allaha aşık dediler bir yunus da ben olayımTatlı eden hayatı  Tatlı eden ölümü Allaha aşk Mevlana Allaha aşık dediler bir mevlana da ben olayım   Hamdi OruçKayıt Tarihi : 12.3.2013 20:05:00
214,Kemal Eyüpoğlu,Aşk nedir sence?,https://www.antoloji.com/ask-nedir-sence-3-siiri/,"Bence aşk; Bir çift göze söz verip, sözünü tutmaktır aşk Issızlara saklanıp, zevki unutmaktır aşk.Dile kelepçe vurur, belleri büktürür aşk Dizleri tutmaz eder, ere diz çöktürür aşk.Bir şimşek bir yıldırım, çarpıldığın andır aşk Akrebi yelkovanı birden durdurandır aşk.Bir olmaza bağlanmak, hayatı tepmektir aşk Hayatın tadı tuzu, gönüle ekmektir aşk.Bir gönülden gönüle coşkuyla akıştır aşk Sevgiliye uzaktan hasretle bakıştır aşk.Önce büyük saldırı, sonra savunmaktır aşk Beklemek ve sabretmek, boşa avunmaktır aşk.Yesen içsen doyulmaz heryerde yok, azdır aşk İnce bir gönül teli, bir gitar ve sazdır aşk.Ak'a kara çalınmaz, hep berrak ve aktır aşk Ne is tutar ne de pas, güzel, tatlı, paktır aşk.Ya sence?   Kemal EyüpoğluKayıt Tarihi : 25.1.2007 19:09:00"
215,Reyhan Altaş Şairler Dünyası Grubu,EY AŞK SEN HİÇ MERT DEĞiLSiN,https://www.antoloji.com/ey-ask-sen-hic-mert-degilsin-siiri/,******EY AŞK SEN HİÇ MERT DEĞİLSİN ******  Aşk sen her gönüle giren başı boş bir yel gibisin  Bazen gönüllerde durgun sular gibi de sessizsin  Sen istediğinde her gönüle rahatça gider gelirsin  Neden bazen duvarlarını yıkan taşan seller gibisin  Ey aşk sen ne zaman gönüllere giripde seversin  Sen izinsiz gönüllere girer sessizce firar edersin Ey sen aşk gönüllerle oynamayı neden seversin  Seviyorum aşkım dersin gönül dalganı geçersin  Duygu yüklü yürekleri sen aşk hemen seçersin  Ecel gibi değilsin süründürmekle ömre bedelsin  Aşk senin yenildiğin olmaz ki sen hep yenersin  Sen izinsiz gönüllere girer sessizce firar edersin Ey aşk sen hiç mert değilsin nedense namertsin  Aşka boyun eğilmeyeni sen hep önünde eğersin  Acı çeksek bile aşk sen yine sevilmeye değersin  Sen canın isterse sever istemezsen vaz geçersin Reyhan Altaş   Reyhan Altaş Şairler Dünyası GrubuKayıt Tarihi : 13.7.2013 23:28:00
216,İbrahim Ethem Bingül,Aşk Dünyası...,https://www.antoloji.com/ask-dunyasi-siiri/,"Aşk dünyası burası İçinde binlerce kapı Her kapıda bin bekçi Yoksa eğer içinde sevgi Yada seni seven biri Giremezsin o alemin kapısından içeriZavallılar anlamaz sevgiden Anlamazlar sevginin bir de saygı boyutundan Boyut görmeye göz değil Aşklı yürek gerek Göze bulaştımı aşk Zaten görmeye ne gerekAşk sözün bittiği yer Anlatılamaz sus halin başladığı yer Aşk,aşk ile susarsan aşkSevilebilmek diye yalvarırken ben Hep seni diledim Sesimi duyurabildiğim yerden Bilirim her dua uzandımı o serden Gelir cevap en emin yerdenYandım,çoştum aşk ile Dilerim sende yanarsın Bu bende ki aşk ile   İbrahim Ethem BingülKayıt Tarihi : 27.3.2004 15:04:00"
217,Onur Şevik,Aşk Diyorum Aşk 9 *,https://www.antoloji.com/ask-diyorum-ask-9-2-siiri/,"Uzun bir yolda son kilometre Bir mahkuma af müjdesi Yıllar süren bir mahkemenin bitiş haberi Bu bendeki aşk Bakma öyle yüzüme Aşk diyorum aşk! Kandil gecesi kandil mesajı Telefon görüşmesinde dolu bir batarya Hediye kontur gelmiş, sevinci Bu bendeki aşk Bakma öyle yüzüme Aşk diyorum aşk! Hastanede iyi olmanın duası Gurbette bir arkadaş  kucaklaşması Askere tezkere partisi Bu bendeki aşk Bakma öyle yüzüme Aşk diyorum aşk! Gökdelenler arasında ezan sesi Bir arkadaşın diğerine Aa bak! burdada cami varmış demesi Suskunluğu bozan, abi boyayalım kelimesi Bu bendeki aşk Bakma öyle yüzüme  Aşk diyorum aşk! Martıların vapurdan atılan simitleri yemesi Boğaz manzarası ve FATİH'in cesareti Çok şükür TÜRKÜZ diyen bizlerin öğünmesi Bu bendeki aşk Bakma öyle yüzüme Aşk diyorum aşk! Severken dağ olma büyüklüğü Bir tinerciye kafa tutma kabarıklığı Haksızlığa son verme erkekliği Bu bendeki aşk Bakma öyle yüzüme  Aşk diyorum aşk! Sevgiliye şiir yazıp mutlu etme güzelliği Gercek bir aşk kıskançlığı Yanlışlara inat doğru olma farklılığı Bu bendeki aşk Bakma öyle yüzüme  Aşk diyorum aşk!   Onur ŞevikKayıt Tarihi : 21.4.2007 20:00:00"
218,Gassan Satar,Ey Ask,https://www.antoloji.com/ey-ask-36-siiri/,Ask ruzgardir Ne zaman sicaklasam  Gelir vurur tenime serinlerim Ask sestir  Ne zaman boslukta olurum  Ne zaman unuturum benligimi Bir ses gelir uzaklardan  O zaman varligi bilirim  Kendime dokunurum Ask sicakliktir Ne zaman ususem gelir sarar beni Ask dostluktur Ne zaman ozlesem paylasmayi  Gelir bir yandan dinler beni Bir yandan anlatir yasami Ask en guzel turkudur Ne zaman sila hasreti yakar beni Sarar bildik ezgileri ile yuregimi Ucarim memleket topraklari ustune Ellerimle dokunurum koyumun yollarina Insanlarimin gulumsemesine dolarim Ask bir sise sarabin son damlasidir Sarhosluga ceyrek var Sarhoslugu yuklenen son damladir ask Sozlerle yanaklara vuran sicakliktir  Yanaklardaki cicegin ozudur ask Yuzdeki sevilmenin saskinligidir ask Ey ask Dogumum senden oldu Olumum de senden olsun Koynun cennetimdir benim   Gassan SatarKayıt Tarihi : 30.12.2005 15:43:00
219,Bahattin Tonbul,Arkamdan,https://www.antoloji.com/arkamdan-siiri/,"Susuz kalmış bu dilim, Damağımda sensiz aşk Yağmurda akan selim Arkamdan söver mi aşkÜzüntünün zulası Yaratanın emrine Hüzünün müptelası Rehin düşmüş ömrüne        Besmelesiz ölürler Hakikatı bilirler Farklı kabirdedirler  Arkamdan söver mi aşkSon çare cemrelerin Gönülde duran o aşk Meçhulde emrelerin Arkamdan söver mi aşkYüz göz olmuş dokunma Uzaktayım sakınma Can çekişse yakınma Arkamdan söver mi aşkKokusu bulaştırır Sevdası ulaştırır İmkansız alışrırır Arkamdan söver mi aşkTökezlemez sevgimiz İçimi sızlatan aşk Hasrette yok dengimiz Arkamdan söver mi aşk Bahattin Tonbul 16.9.2011   Bahattin TonbulKayıt Tarihi : 23.9.2011 15:06:00"
220,Fatih Hepgüler,Aşk ne garîp..,https://www.antoloji.com/ask-ne-garip-siiri/,"Aşk ; dar ağacı, yâr zülfü ip 					Aşk ne garîp.. Aşk için asılmayan, muzdarip 					Aşk ne garîp.. Aşk; hem elem, hem deva hem tabip 					Aşk ne garîp.. Aşkın hicranı,neden çok cazip?  					Aşk ne garîp.. Aşk cenginden, çıkılmaz ki galip 					Aşk ne garîp... Aşkı yaşatan  yiğit muharip 					Aşk ne garîp.. Aşığın haline bir yar talip 					Aşk ne garîp.. Aşk kaçak amansız yar takip 					Aşk ne garîp.. Acı bir tebessümden aşk terkip 					Aşk ne garîp.. Aşk ne çok necis ne de yar necip 					Aşk ne garîp. Aşk narını  eyleyen, kim tezhip?  					Aşk ne garîp. Aşık aşikar ama aşk gaip 					Aşk ne garîp.. Aşk baş tacı, gönülde yâr nâip 					Aşk ne garîp.. Aşk intisap, yâr yâre,müntesip 					Aşk ne garîp.. Yar kalbine kölesi tek sahip 					Aşk ne garîp.. Yârin nazarı nara müsebbip 					Aşk ne garîp.. Yar hayali bir ömür tek muhip 					Aşk ne garîp.. Aşk her yerde, her taraf, her canip 					Aşk ne garîp.. Her kalbe güzel bir yâr münasip 					Aşk ne garîp.. Aşk gönlü berduş eder, yar tedip 					Aşk ne garîp.. Aşk denince lal olur her edip 					Aşk ne garip...  Aşkı hesaplayamaz, muhasip 					Aşk ne garîp.. Aşk tanımaz dağ,taş, set ve rakip 					Aşk ne garîp.. Yarin hasreti muhrip, kalp tahrip 					Aşk ne garîp Yare görülmez başka yar calip 					Aşk ne garîp.. Yardan başka yok yare  musahip 					Aşk ne garîp.. Aşk açar güller,dalda lal tasvip 					Aşk ne garîp.. Aşk kaçak,gölge gibi yar takip 					Aşk ne garîp.. Hakkın lutfu  gönüle yâr nasip 					Aşk ne garîp.. Onun için kullara aşk vacip 					Aşk ne garîp..“Aşk yazılır kalemsiz..yaz  katip 					Aşk ne garîp.. Aşkı  anlat kelamsız, söz hatip 					Aşk ne garîp..”Müsebbip: sebep,bahane Tasvip: Kabul etme, onaylama  		Calip: Cazibeli, albenili 		Muhasip: Hesap uzmanı, muhasebeci 		Tedip:Adam etme, derleyip toplama,  düzenleme 		Canip: İstikamet, yön 		Muhip: Arkadaş, dost 		Müntesip: Bağlanan,bağlanmış olan 		Nâip: Sadrazam, vekil 		Necip:Asil  		Muzdarip: Izdırap çeken  		Muharip: Savaşçı, cengaver 		Terkip: Birleşik, Karışım   Fatih HepgülerKayıt Tarihi : 11.5.2006 18:50:00"
221,Refik Recep Pelit,Aşk'ın Sözü,https://www.antoloji.com/ask-in-sozu-siiri/,Herkes aşık olurda  Aşk ne der ki  bu işe  Aşk bakar  bakar  Güler belki de bize  Aşk’a dair her dize  Aşk şaşar belki bize  Aşk aşk diye diye  Aşk küser belki bize Adını aşk koyar  Sığamayız aya yıla  Aşk uğruna diye diye  Terk ederiz ocak sıla Aşk bizi anlamaz ya  Biz aşk’tan anlarmıyız  Aşk peşinden koşar durur Maşuku hiç sallarmıyız Aşk  ıslatmış ustümüzü Yakmışız tütsümüzü Düşüverdik yüz üstü  Aşk çoktan bize küstüAşk  gönülde bir sesti Çığlıklarda sessizdi Duyamadık her sesi  Beyazı Karası kirlisi Aşk denen şey neydi Rüzgarlarda devrildi  Dedik ki aşk esti Gerçek içinde tezvirdiAşk’ı cendere ile Limon yapıp sıkmışız  Aşk’ın suyuna dalarak Çırılçıplak kalmışız  Aşk’a sınır çizerek Döşeklere gömmüşüz Alevlenip yanmadan  Dumanında sönmüşüzAşk sanmışız her şeyi  Türlü hayaller görmüşüz  Aşk değilmiş demeyip Yaşamadan ölmüşüz Aşkı da bir dinlesek  Acep ne der ki bize  Adımı anmayın sakın  Aşk yakışmaz densize  Benzetmeyin rezile Benzetmeyin yezite Aşk benzer bir denize Haramım hepinize   Refik Recep PelitKayıt Tarihi : 8.1.2004 18:59:00
222,Hüseyin Yük,Aşk Kapsama Alanı Dışında,https://www.antoloji.com/ask-kapsama-alani-disinda-siiri/,Aşk sahipsiz aşk benden küs kapıları hep kilitli hayaller örmüş beklersen gelmez geldiğinde de yakar sıcak mısın aşk buzmusun dermansmısın dertmi varmısın yokmusunumutlar yorgun düşer aşk sen ayışığndan da güzel aşk kışlara ödünç verilmiş güneş gibisin aşk üşürsem üstüme yorgan olurmusun aşk biliyorumki sen bir rock konseri gibisin benide sahneye çıkaracaksın gitar sesi davul sesiyle seviştiği gibi sende benimle notalarda yaşayacaksın aşk ırksız renksiz çok dilli gözler taşırsın aşk yargıçsız savcısız yargılarsın aşk avukat yargıtay danıştay sökmez sana aşk sen yürekten yakalarsın aşk kelepçesiz vicdanına UMUDUNA düşmeyen varmı aşk yakan yakılan acıkan ve sana borçlu kalmayan kredi kartı gibisin aşk seni haracamak kolay seni kazanamak zor merkez bankası faiz indirir gibi sende döviz rezervi topluyorsun çok pahalsın aşk borsayı bile çöekertiyorsun bir nazınla bizi çökertme aşk bizi vergi affı gibi affet takside bağlamadan peşin peşin söyle geldğini zamansız enflasyonsuz yakalama aşk aşk seni biz seviyoruz parayı sevdiğimizden çok en büyük sermayemiz sen kaldın aşk krizlere rağmen sendeyiz aşkhüseyin yük 2009 izmir   Hüseyin YükKayıt Tarihi : 27.6.2009 19:08:00
223,Mikdat Bal,Bu aşk beni kül eyledi!,https://www.antoloji.com/bu-ask-beni-kul-eyledi-siiri/,"Ağlayarak ah ederim Bu aşk beni kül eyledi Gâh dururum, gâh giderim Bu aşk beni kül eylediBazı dondum bazı yandım Döndüm döndüm yine andım Yudum yudum içtim kandım Bu aşk beni kül eylediGünden güne eriyorum Yana yana yürüyorum Dertten derde giriyorum Bu aşk beni kül eylediİçim yara dışım yara Bu aşk beni yaktı nârâ Ayrı düştüm bahtım kara Bu aşk beni kül eylediBundan gayri yolumsun sen Dikenimsin gülümsün sen Bana tatlı ölümsün sen Bu aşk beni kül eylediÇölden geçtim dağdan aştım Çaresiz bir derde düştüm Hasretine yandım piştim Bu aşk beni kül eylediMikdat der ki ben aşığım Ben bu derde alışığım Güneş, ayım ey ışığım Bu aşk beni kül eyledi   Mikdat BalKayıt Tarihi : 6.2.2006 03:57:00"
